,Position,AvgFinishes,Round,Year,CumulativePoints,TeamAvgFinish,TeamRollingAvg,PointsShifted
0,1.0,10.5,1,2024,0.0,1.5,10.5,10.5
1,2.0,10.5,1,2024,0.0,1.5,1.5,10.5
2,3.0,10.5,1,2024,0.0,3.5,10.5,10.5
3,4.0,10.5,1,2024,0.0,3.5,3.5,10.5
4,5.0,10.5,1,2024,0.0,6.0,10.5,10.5
5,6.0,10.5,1,2024,0.0,7.0,10.5,10.5
6,7.0,10.5,1,2024,0.0,6.0,6.0,10.5
7,8.0,10.5,1,2024,0.0,7.0,7.0,10.5
8,9.0,10.5,1,2024,0.0,9.5,10.5,10.5
9,10.0,10.5,1,2024,0.0,9.5,9.5,10.5
10,11.0,10.5,1,2024,0.0,15.0,10.5,10.5
11,12.0,10.5,1,2024,0.0,14.0,10.5,10.5
12,13.0,10.5,1,2024,0.0,13.5,10.5,10.5
13,14.0,10.5,1,2024,0.0,13.5,13.5,10.5
14,15.0,10.5,1,2024,0.0,17.5,10.5,10.5
15,16.0,10.5,1,2024,0.0,14.0,14.0,10.5
16,17.0,10.5,1,2024,0.0,17.5,10.5,10.5
17,18.0,10.5,1,2024,0.0,17.5,17.5,10.5
18,19.0,10.5,1,2024,0.0,15.0,15.0,10.5
19,20.0,10.5,1,2024,0.0,17.5,17.5,10.5
20,1.0,1.0,2,2024,26.0,1.5,1.5,26.0
21,2.0,1.5,2,2024,18.0,1.5,1.5,18.0
22,3.0,2.3333333333333335,2,2024,12.0,5.0,3.5,12.0
23,4.0,4.666666666666667,2,2024,4.0,6.0,7.0,4.0
24,5.0,7.0,2,2024,2.0,12.0,9.5,2.0
25,6.0,7.333333333333333,2,2024,10.0,7.5,6.0,10.0
26,7.0,7.0,2,2024,0.0,5.0,4.0,10.5
27,8.0,5.5,2,2024,8.0,6.0,6.666666666666667,8.0
28,9.0,6.5,2,2024,6.0,7.5,6.5,6.0
29,10.0,9.666666666666666,2,2024,0.0,11.0,14.0,0.0
